번호,분류,제목,내용,내용번호
2333,주택도시계획,(남산) 서울 중심점, 서울의 지리적 중심  남산 정산부  서울의 행정구역에 대한 지리적 중심  남산 정상부   기존 중심점  종로구 인사동길 하나로 빌딩 층   년 설치하였으나 이는 조선시대 당시의 기준점으로 그 이후 급격한 변화를 겪은 서울의 행정구역 변천 등 역사적인 변화를 반영하지 못함   광화문 네거리에 있는 도로원표는   년 일제강점기 때 현 광화문 네거리에 한반도 개 도시의 거리가 표시된 표석을 설치한 것으로 서울의 실제 중심점은 아님   중심점 조형물 설치  기존에 있는 측량기준점 경위도 원점 등 삼각점 과 서울의 중심점을 통합하여 새로이 조성  위치  광화문 동화면세점과 세종로파출소 앞에 위치함  중심점 디자인  서울과 한강의 모습을 투영해 물과 함께하는 역동적인 문화 서울을 컨셉으로 서울시 개의 자치구를 함께 표시  중심점 주변에는 한글 영어 중국어 일본 등 개 언어로 된 중심점에 대한 안내설명판과 바닥 지주 이정표 설치 ,2896349
2332,행정,종로구 차 없는거리 현황,  관철동 젊음의거리 피아노길  매일 시 시   인사동 전통문화의거리  매일 시 시 공휴일 포함 단 출입허가증이 있을 경우 통행가능   인사동 길에 위치한 인사동홍보관 앞에서 차 없는 거리에 진입하는 차량의 용도를 확인 후 허가증 발급 주로 조업차량 택배차량 등     평일  북인사마당 인사동사거리  수도온누리약국까지  구간    토 일 공휴일  북인사마당 인사동사거리  인사네거리 가가갤러리   구간   인사동 차 없는 거리 문의  인사동홍보관     낙원동 명품악기떡전거리  일요일 시 시   혜화동 대명거리  토 시 시  일 시 시   혜화동 마로니에길  일 시 시   감고당길 안국역 풍문여고 차없는 거리  토 일 시 시   운영 관리 부서 담당자   인사동  종로구 문화과 임호산    혜화동  종로구 문화과 최인숙   대학로 차 없는 거리 문화행사 담당   관철동  종로구 건설관리과 엄재용   관철동 젊음의 거리 피아노길 가로판매대 허가 담당    차 없는 거리 계획 설치 협조 부서 담당자   종로구 교통행정과 류민환    교통행정과에서 차 없는 거리를 설치한 후에 운영관리는 문화과에서 함 ,2896414
2331,교통,7-10인승 이하 자동차 차종변경 안내문을 받았습니다., 신청  자동차를 가지고 구청으로 방문  서류  본인  자동차 등록증 신분증 자동차 번호판 지참 수수료 원 번호판대금 원     대리인  위임장 차주분의 인감증명서 오시는분 신분증 자동차 번호판 수수료 원 번호판대금 원  제외차량 모두 대상자 되는 것이 아닙니다     먼저 자동차 최초등록일자가 년 월 일 이전에 등록된자동차중에서 승합자동차가 해당이 됩니다     승합자동차 중에서도 년 이후에 등록된 자동차는 해당이 안됩니다     또한 그레이스 베스타 프레지오 다마스 이스타나 타우너 봉고 등도 해당이 안되는 차입니다  변경등록을 꼭 해야하는지요   차종 변경 신청은 소유자의 선택사항이며 변경등록을 안하셔도 상관은 없지만     올해부터 자동차세도 승용차와 자동차세는 똑같이 내는데 주정차 위반 및 신호위반 등 각종 교통위반범칙금 등은    승합차 기준으로 부과되고 있어서 변경등록 안하신 분들이 불이익을 받는 경우가 있어서 안내문을 보내드린 것입니다  ,2897053
2330,여성가족,미성년자의 법정대리인이란?,ㅇ 법정대리인이란    본인의 선임에 의하지 아니하고 법률에 의하여 대리권이 부여된 자를 말하며 친권자와 후견인이 있음       친권자  미성년자의 친생부 또는 친생모       후견인  미성년자에게 친권자가 없을 때 또는 친권자가 법률행위를 대리하거나 재산관리권을 행사할 수없을 때 최근친의 최연장중 인을 선임   미성년자의 후견인 선임    친권을 행사하는 부모의 유언으로 미성년자의 후견인 선임     에 의한 후견인이 없는 경우 미성년자의 직계혈족 촌 이내의 방계혈족      에 의한 후견인이 없는 경우 법원은 가족 기타 이해 관계인의 청구에 의하여 후견인을 선임  ㅇ 미성년자의 법적대리인의 동의    미성년자는 만 세 미만자로 단독으로 법률행위를 할 수 없는 자로 법정대리인의 동의를 얻어 법률행위를 행함   ,2897638
2329,복지,송파구 장애인무료운전연습장,  송파구청 장애인운전연습장  주소  송파구 삼학사로길 탄천빗물펌프장내   관리인원  전문강사 명  교습시간  인당 일 시간씩 일간  평일     수강비용  무료  교습내용  기능시험 응시를 위한 기능코스 연습 도로주행교육  이용대상  운전면허 학과시험에 합격한 서울시 등록장애인  신청방법  유선 및 방문신청  문의처  송파장애인운전연습장   팩스   ,2898154
2328,복지,신사어린이도서관은 어떻게 이용하나요?,                                                                                                                                                                      돋움                                                                                                                                           돋움                                                                                                                                               돋움                                                                                                                                                                                                  돋움                                                                                                                                           돋움                                                                                                                                              돋움                                                                             돋움                                                  돋움                                                돋움                                                돋움                                                                                                                           도서관 무료열람 및 대출 시간 안내   월  금    토     대출회원 신청대상  만 세 이상 누구나  대출회원 신청방법  신분증 성인  학생증 청소년  주민등록등본 아동 지참 후 도서관에서 회원 신청  이용 서비스  은평구립 도서관 구립증산정보도서관 응암정보도서관 상림마을 작은도서관에서 본 회원카드로 대출 책단비 서비스 이용 가능  책단비 서비스란  은평구립도서관 구립증산정보도서관 응암정보도서관 상림마을 작은도서관 신사어린이도서관 등 개 도서관에 소장된 여 권의 책을 각 도서관 홈페이지를 통해 읽고 싶은 책을 신청하면 도서관이나 지하철역에서 손쉽게 책을 대출받고 반납이 가능하도록 하는 책 배달 서비스 신사와 상암 도서관은 타도서관 도서를 제공만 받는다 ,2895693
2327,복지,재가노인복지시설과 재가장기요양기관의차이점은?,                                                                                                                                                                      돋움                                                                                                                                           돋움                                                                                                                                               돋움                                                                                                                                                                                                  돋움                                                                                                                                           돋움                                                                                                                                              돋움                                                                             돋움                                                  돋움                                                돋움                                                돋움                                                                                                                           재가노인복지시설  노인복지법에 따라 설치신고된 시설로 추가적으로 장기요양기관으로 지정을 받으면 자익요양급여수급자에게 재가급여을 제공할 수 있습니다  재가장기요양기관  노인장기요양보험법이 도입됨에 따라 신규로 설치되는 시설로 별도로 지정을 받지 않아도 장기요양급여수급자에게 재가급여을 제공할 수 있습니다  재가노인복지시설은 동시에 장기요양기관이 될 수 있지만 재가장기요양기관은 재가노인복지시설이 아닙니다  ,2898585
2326,복지,현충일에 차량운행하나요?,  일 현충일 추념행사 수송버스 운행합니다  대전 현충원 수송차량 이용 방법 전몰군경미망인회나 은평구지회  전몰군경유족회 은평구지회  에 접수해야 이용 가능 ,2895466
2325,행정,서울시 IPTV 안내,업무개요  서울특별시    안내   업무내용      란    인터넷선을  에 설치해 원하는 시간에 원하는 방송과 각종정보를 인터넷 검색하듯  로 이용하도록 해주는 서비스    서울시             및   로 영상제공중임     언론사와 서울시가 제휴 제작한 시정홍보 영상과 문화가 흐르는 서울 영상 제공     브로드밴드는 년 월 종료되어 년 월 현재  와  에만 영상 제공중임   기타사항    유플러스   국번없이   올레   국번없이   문의처  뉴미디어담당관 박상희   민 관 협력 공동방송 기획 및 송출관리    ,2896803
2324,교통,남양주시 별내면 덕송~상계간 광역도로 (터널) 개설,                                                                                                                                                                      돋움                                                                                                                                           돋움                                                                                                                                               돋움                                                                                                                                                                                                  돋움                                                                                                                                           돋움                                                                                                                                              돋움                                                                             돋움                                                  돋움                                                돋움                                                돋움                                                                                                                            사업개요   공사위치  노원구 상계동  남양주시 별내면 덕송리   공사규모  폭  왕복차로  연장   터널   포함하여 서울구간    남양주시 구간     개통시기  년 월 말 예정       담당자  남양주시청 교통도로국 도로건설과 도로건설팀 박철호 주무관          주의 덕송 상계간 광역도로 개설공사는 남양주시청 주관이므로 해당 문의는 남양주시청 담당자로 우선 안내         서울시 담당자를 문의하는 경우  도로계획과 광역도로계획팀 윤갑진 주무관   남양주시 별내면 덕송리에서 서울시 노원구 상계동을 통행하기 위해 덕릉고개길 왕복차로 을 이용할 수 있는 상태입니다만 남양주 별내지구 상계재정비촉진지구 등 서울 동북부지역 주변의 대규모 개발계획에 따른 교통수요 증가 등을 감안하여 남양주시와 서울을 터널로 연결하는 왕복 차로 도로가 남양주시 주관으로 새로 건설될 예정입니다 덕송 상계간 광역도로는 현재의 굴곡과 경사가 심한 덕릉고개길이 맡아온 통과교통 처리 기능을 직선화 및 터널화하여 담당함으로써 시민의 통행편의에 기여할 것으로 기대되며 현재 남양주시에서 세부 설계작업을 진행중으로서 도시계획시설 도로 결정되면 보상 등 절차가 년부터 추진 예정이며 보상이 완료되면 공사도 진행될 것입니다 기존의 덕릉고개길은 주변의 예비군훈련장 이용자 등을 감안하여 현재대로 유지하게 될 것입니다  ,2896164
2323,행정,열쇠없이 문이 잠겼을 경우 급하게 어떻게 해야 하나요?,열쇠없이 문이 잠겼을 경우 급하게 어떻게 해야 하나요 문이 잠겼을때 에 전화를 하면  시간 열쇠전문점 안내하는 콜센터 여기를 알려주신다고 합니다  ,2894387
2322,교통,"[경기버스] 경기 버스 서비스 이용안내 (인터넷,휴대폰, 전화, 마이버스,스마트폰)",인터넷   경기버스정보시스템 바로가기    인터넷으로 제공되는 경기지역의 실시간 버스정보 시스템   휴대폰   이동통신사별 무선인터넷           로 접속    정보이용료는 부과되지 않음  단 데이터 사용료 부과됨     휴대폰에 입력  무선인터넷 접속  정류소 번호와 노선번호를 입력    버스도착정보 버스노선정보 버스찾기 경로찾기 기능 제공  스마트폰 사용자는 이용불가 스마트폰은 어플을 다운받아야 함   전화         버스도착정보 및 노선안내 정보서비스 제공    인터넷에 접속하여 정류소와 노선번호를 마이버스로 등록하면 간편함  스마트폰 사용자는 이용불가 스마트폰은 어플을 다운받아야 함   스마트폰   경기버스정보시스템 바로가기     마이버스    이용자가 사전에 자주 이용하는 노선과 정류소를 인터넷 상에서 등록하는 서비스 ,2894638
2321,행정,작은 천문대 (천문 우주교실 운영) 란 ?, 성북구청에서 운영하고 있는 아리랑정보도서관 홈페이지 통해 작은 천문대 이용 신청 예약 이 가능 합니다                        아리랑정보도서관 홈페이지 메인 화면 상단 메뉴에서 오른쪽 천문대  메뉴 이용 장소  성북구청 층 작은천문대 코너 대기장소  옆에 층 북카페 운영일  매주 토요일 예약자 대상의 당일 운영 교육 운영시간  월 월     월 월      접수안내  대상  성북구민 명 예약한정   방법  아리랑정보도서관 홈페이지 로그인 후 선착순 인터넷 예약 접수              아리랑정보도서관   접수취소  매주 금요일 시까지  이용비용  무료  접수시 주의사항  예약취소하지 않고 불참시 일정기간 신청불가                중복예약 불가 확인 후 중복예약자 는 중복날짜 중 선택 취소    교육구성  안성천문대 강사진의 천문교육  작은천문대에서 달과 별자리 실측  우천시에는 배움터에서 천문교육으로 구성됩니다    흐린 날씨로 인해 천문대 관측을 못하신 분들께는 쿠폰을 발행하여 다른 교육일에 관측체험이 가능하도록 조치    주의사항  대중교통 이용 권장 자동차 이용 시 지하주차장 이용   유치원생 미만 학생들은 부모님이 인솔해 주세요  교육시간 을 지켜주세요  밤에는 날씨가 쌀쌀 하니 따뜻한 옷을 구비해 주세요    예약은 인터넷으로만 가능합니다 전화예약은 받지 않습니다   예약 가능 시간  일요일    금요일  까지  예약 시작은 토요일 에서 일요일 로 넘어 가는 밤 시 부터 예약 창 은 열립니다   예약 취소자 발생시 에는 예약이 가능 하므로 중간 중간 확인하시기 바랍니다   예약은 대표 명이 본인을 포함하여 최대 명까지 가능합니다 즉 참여자가 일일이 신청을 하는 것이 아니라  대표자 명이 명까지 예약하실 수 있습니다   직접 신청란을 들어 가시면 추가로 참여할 사람 에 대한 정보를 입력 하면 됩니다    이미 참여한 분 예약을 취소하신 분 은 일정기간 개월 예약 하실 수 없습니다   신중하게 예약하여 주시기 바랍니다  문의 전화  아리랑정보도서관  번  관리  성북구 도시관리공단 위탁운영    ,2895561
2320,복지,결혼이민자에게 컴퓨터를 교육하는 곳은 없나요?,서대문구에서는 비정기적으로 다문화가족 무료 정보화교실을 운영하고 있습니다 일단 서대문구 다문화가족지원센터   에 결혼이민자의 인적사항을 등록해 놓으시면 교육 대상자 모집 시 안내하여 드리겠습니다  ,2896444
2319,행정,정신과 상담 기록에 남나요?,  상담시에는 의료보험 공단에 기록이  남습니다   하지만 기록 없이 상담을 원하시면 일반으로 상담 가능하나  의료보험 혜택을 받을 수 없습니다  중랑구정신보건센터   상담 시 기록은 남지 않습니다   문의처      ,2896078
2318,경제,지장전주이설신청합니다.,지장전주 이설은 각 시설물 전주 담당기관 한전동부지점  중랑지점 에서 시행하고 있습니다 전주 이설신청은 중랑구청 건설관리과에 접수하시면 현장확인 후 해당기관에 통보하여 조치토록 하겠습니다 감사합니다 ,2895517
2317,행정,어린이보호구역 내 서행표시 (지그재그 차선),업무설명   지그재그 차선  어린이 보호구역 내 서행표시  횡단보도 전후 미터 이내 도로경계선 흰색 또는 황색 실선 을 지그재그로 그어 즉시 정차할 수 있도록 서행 표시한 것    지그재그 차선 의 정확한 이름은 서행표시 어린이 보호구역 안 횡단보도 예고 표시 로    옆 차선이 지그재그로 그려져 있으면 곧 어린이 보호구역에 횡단보도가 있으니 천천히 운전하라는 뜻   지그재그 차선은 경찰이 해외사례 검토를 통해 영국 런던의 횡단보도에 사용례를 참고하여 도입               지그재그 차선 운영목적   차로가 좁아져 보이는 시각적 효과를 통해 해당 구간에서의 차량 감속운행을 유도하여 운전자의 주의운전을 기대할 수 있고    결과적으로 횡단보도상의 보행자 교통사고를 예방    지그재그 차선 운영현황        구분  상세내용   년  지그재그선 설치시범운영 개소    횡단보도상의 보행자 교통사고를 예방하기 위해 횡단보도 구간에 지그재그선을 설치하는 등  횡단보도 개선안을 마련하여 횡단보도앞 사고다발지역 개소를 대상으로 개월간     시범운영  년 기준 지그재그 차선은 서울시내 곳 정도있으며 속도는 해당도로의 속도 기준임    관련법  도로교통법 관제계  확인 서울지방경찰청 확인       관할서  장소  관할서  장소  관할서  장소   서대문  무악 현대아파트 앞  종암  서울북공고 앞  관악  영락고 입구   영등포  삼보예식장 앞  강북  도봉세무서  가야쇼핑센터 앞   금천  독산고개  숭인시장 앞  조흥은행 관악지점 앞   강서  강서구청 앞          년  도로교통법 시행규칙 개정 개정   시행      도로교통법 시행규칙 일부개정령안 별표  개별기준 제호 중 제란 다음과 같이 변경         번호  종류  만드는방식 단위 센티미터  표시하는 뜻  설치기준 및 장소    서행표시    차가 서행하여야 할 곳을 표시하는 것   어린이보호구역 등 차가 서행하여야  할 장소에서 보행자를 보호하기 위해  길 가장자리 구역선이나  정차 주차금지선을 지그재그형태로 설치    편도 차로 이상 도로의 길가장자리  구역선이나 정차 주차 금지선 및 차선을  지그재그형태로 설치할 경우에는  횡단보도 전 후  이내의 구간에  설치할 수 있음           지그재그차선이 차로가 좁아보이는 시각적 효과를 통한 차량 감속 유도 효과가 높은 것으로 나타나  이를 차선에도 확대 설치할 수 있도록 년 도로교통법 시행규칙을 개정하여 확대시행   년     년 월 현재 별도 산출된 통계자료 없음   자세한 내용 문의시 경찰민원콜센터 또는 서울지방경찰청으로 문의하시도록 안내     기타사항   용어설명  지그재그 차선  스쿨존 학교 주변지역 사고가 잦은 횡단보조 전후에 차량 서행표시 년 월 도입   서행  즉시 정지할 수 있는 속도로 달리는 것 도로교통법 상 규정은 없음     지그재그차선 설치 구간 확대 배경  지그재그차선 설치는 어린이보호구역 등 차가 서행해야 하는 장소의 길가장자리 구역선이나 정차 주차 금지선으로 설치하였으나   차로가 좁아보이는 시각적 효과를 통한 차량 감속 유도 효과가 높은 것으로 나타나   이를 차선에도 확대 설치할 수 있도록 도로교통법 시행규칙을 개정함    ,2895032
2316,복지,서울시 장애인치과병원,                                                                                                                                                         돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                                                                                                                                                                                돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                                                                                                                                      돋움                                                                                                                                            돋움                                                                                                                                             돋움                                                                                 돋움                                                  돋움                                                 돋움                                                 돋움                                                                                                                                         홈페이지              진료대상  장애등급과 연령에 관계없이 장애인복지카드를 소지한 모든 장애인  진료시간   평일 오전 시  오후 시 분    점심시간   토요일 오전 시  오후 시 분  일요일 및 공휴일에는 진료 없음  위치  서울시 성동구 마장로  호선 상왕십리역 번 출구   전화번호       기타 진료예약 진료비 감면 내원시 필요한 사항 등 상세 이용문의는 홈페이지 참고  장애인치과병원 이용 불편사항  관련   시립병원 관리 참고 ,2896790
